<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
04.09.2018;11:24:00;107610.0000000;107610.0000000;107610.0000000;107610.0000000
04.09.2018;11:26:00;107630.0000000;107630.0000000;107630.0000000;107630.0000000
04.09.2018;11:36:00;107570.0000000;107570.0000000;107570.0000000;107570.0000000
04.09.2018;11:47:00;107510.0000000;107510.0000000;107510.0000000;107510.0000000
04.09.2018;11:53:00;107460.0000000;107460.0000000;107440.0000000;107460.0000000
04.09.2018;11:55:00;107460.0000000;107470.0000000;107460.0000000;107460.0000000
04.09.2018;11:56:00;107340.0000000;107390.0000000;107300.0000000;107300.0000000
04.09.2018;11:57:00;107400.0000000;107410.0000000;107400.0000000;107410.0000000
04.09.2018;12:00:00;107360.0000000;107400.0000000;107210.0000000;107270.0000000
04.09.2018;12:01:00;107240.0000000;107240.0000000;106970.0000000;106970.0000000
04.09.2018;12:02:00;106910.0000000;106910.0000000;106830.0000000;106910.0000000
04.09.2018;12:03:00;106830.0000000;106870.0000000;106750.0000000;106870.0000000
04.09.2018;12:04:00;106900.0000000;107000.0000000;106850.0000000;106850.0000000
04.09.2018;12:05:00;106810.0000000;106840.0000000;106810.0000000;106840.0000000
04.09.2018;12:06:00;106910.0000000;106910.0000000;106910.0000000;106910.0000000
04.09.2018;12:07:00;106790.0000000;106790.0000000;106790.0000000;106790.0000000
04.09.2018;12:08:00;106910.0000000;106990.0000000;106910.0000000;106990.0000000
04.09.2018;12:09:00;106950.0000000;106950.0000000;106950.0000000;106950.0000000
04.09.2018;12:11:00;107000.0000000;107000.0000000;107000.0000000;107000.0000000
04.09.2018;12:12:00;106990.0000000;106990.0000000;106990.0000000;106990.0000000
04.09.2018;12:17:00;107000.0000000;107000.0000000;107000.0000000;107000.0000000
04.09.2018;12:18:00;107030.0000000;107050.0000000;107030.0000000;107050.0000000
04.09.2018;12:20:00;106980.0000000;106980.0000000;106980.0000000;106980.0000000
04.09.2018;12:25:00;107060.0000000;107060.0000000;107060.0000000;107060.0000000
04.09.2018;12:29:00;107060.0000000;107060.0000000;107060.0000000;107060.0000000
04.09.2018;12:30:00;107150.0000000;107150.0000000;107150.0000000;107150.0000000
04.09.2018;12:32:00;107030.0000000;107030.0000000;107030.0000000;107030.0000000
04.09.2018;12:33:00;107200.0000000;107200.0000000;107200.0000000;107200.0000000
04.09.2018;12:36:00;107300.0000000;107350.0000000;107300.0000000;107310.0000000
04.09.2018;12:38:00;107210.0000000;107230.0000000;107210.0000000;107230.0000000
04.09.2018;12:42:00;107150.0000000;107150.0000000;107150.0000000;107150.0000000
04.09.2018;12:43:00;107150.0000000;107150.0000000;107150.0000000;107150.0000000
